"title","location","rent_per_month","rooms","area_sq_m","czynsz","url"
"Nowe mieszkanie / Faktura VAT / New flat","Fabryczna","3100","2","38","+ czynsz: 500 zł/miesiąc","/pl/oferta/nowe-mieszkanie-faktura-vat-new-flat-ID4kvv5"
"DO WYNAJECIA! 2pok, komfort, nowe, 36m2, Tarnogaj","Krzyki","3000","2","36","+ czynsz: poszukaj w opisie","/pl/oferta/do-wynajecia-2pok-komfort-nowe-36m2-tarnogaj-ID4kGZ3"
"3-pok DUŻE mieszkanie-Sępolno","Śródmieście","3300","3","64","+ czynsz: poszukaj w opisie","/pl/oferta/3-pok-duze-mieszkanie-sepolno-ID4kGVf"
"SIENKIEWICZA! Media Miejskie! Wyposażone!","Śródmieście","2100","1","27","+ czynsz: 400 zł/miesiąc","/pl/oferta/sienkiewicza-media-miejskie-wyposazone-ID4kq98"
"2 pokojowe w spokojnej okolicy | Bez prowizji","Śródmieście","3280","2","43","+ czynsz: 380 zł/miesiąc","/pl/oferta/2-pokojowe-w-spokojnej-okolicy-bez-prowizji-ID4kDfZ"
"Mieszkanie do wynajęcia","Krzyki","2500","2","49","+ czynsz: 300 zł/miesiąc","/pl/oferta/mieszkanie-do-wynajecia-ID4ky46"
"NOWY, Januszowicka, 3 pokoje, 2 garaże, park","Krzyki","5500","3","79","+ czynsz: 750 zł/miesiąc","/pl/oferta/nowy-januszowicka-3-pokoje-2-garaze-park-ID4jGXp"
"0% Prowizji 2 pokoje+Garaż ul. Kukuczki","Krzyki","2800","2","50","+ czynsz: 600 zł/miesiąc","/pl/oferta/0-prowizji-2-pokoje-garaz-ul-kukuczki-ID4k6RO"
"3-pok DUŻE mieszkanie-Sępolno","Śródmieście","3300","3","64","+ czynsz: poszukaj w opisie","/pl/oferta/3-pok-duze-mieszkanie-sepolno-ID4kGVf"
"Przestronne mieszkanie na Krzykach","Krzyki","2800","2","46","+ czynsz: 620 zł/miesiąc","/pl/oferta/przestronne-mieszkanie-na-krzykach-ID4kGWS"
"Nowe Osiedle wyższy standard, parking","Krzyki","2500","2","36.5","+ czynsz: 600 zł/miesiąc","/pl/oferta/nowe-osiedle-wyzszy-standard-parking-ID4kGWl"
"ładne mieszkanie Wrocław Gaj 2 pokoje","Krzyki","2600","2","42","+ czynsz: 500 zł/miesiąc","/pl/oferta/ladne-mieszkanie-wroclaw-gaj-2-pokoje-ID3Xgm0"
"Bardzo ładne mieszkanie 2- pokojowe na Gaju.","Krzyki","2600","2","52","+ czynsz: 660 zł/miesiąc","/pl/oferta/bardzo-ladne-mieszkanie-2-pokojowe-na-gaju-ID4kztW"
"Wynajmę mieszkanie - 3 pokoje, ul. Lwowska","Fabryczna","2500","3","50","+ czynsz: 560 zł/miesiąc","/pl/oferta/wynajme-mieszkanie-3-pokoje-ul-lwowska-ID3CAeY"
"Kawalerka w centrum, ul. Długa","Stare Miasto","2000","1","30","+ czynsz: 540 zł/miesiąc","/pl/oferta/kawalerka-w-centrum-ul-dluga-ID4ky0s"
"Przestronna kawalerka ulica Przyjazni","Krzyki","2000","1","35","+ czynsz: 600 zł/miesiąc","/pl/oferta/przestronna-kawalerka-ulica-przyjazni-ID4kGSj"
"Kawalerka ul. Haukego Bosaka 31","Śródmieście","2350","1","28","+ czynsz: 500 zł/miesiąc","/pl/oferta/kawalerka-ul-haukego-bosaka-31-ID4huJH"
"Komfortowe mieszkanie, Wrocław, Rafała Wojaczka","Psie Pole","3200","2","52","+ czynsz: 650 zł/miesiąc","/pl/oferta/komfortowe-mieszkanie-wroclaw-rafala-wojaczka-ID4kxYG"
"Mieszkanie 2-pok. z balkonem i garażem, Centauris","Krzyki","3400","2","56","+ czynsz: 750 zł/miesiąc","/pl/oferta/mieszkanie-2-pok-z-balkonem-i-garazem-centauris-ID4kxYJ"
"Walońska / Angel / Spa / Centrum","Krzyki","3900","2","40","+ czynsz: 660 zł/miesiąc","/pl/oferta/walonska-angel-spa-centrum-ID4iYlF"
"Apartament 3pok., Promenady Wrocławskie","Psie Pole","3700","3","65","+ czynsz: poszukaj w opisie","/pl/oferta/apartament-3pok-promenady-wroclawskie-ID4kGPc"
"Lokum Porto | 2 pokoje z balkonem - Pierwszy Najem","Stare Miasto","2499","2","32","+ czynsz: poszukaj w opisie","/pl/oferta/lokum-porto-2-pokoje-z-balkonem-pierwszy-najem-ID4kGNP"
"Do wynajęcia mieszkanie 2 pokoje, klimatyzacja","Psie Pole","2900","2","52","+ czynsz: 600 zł/miesiąc","/pl/oferta/do-wynajecia-mieszkanie-2-pokoje-klimatyzacja-ID478Yv"
"Lipa Piotrowska | 4 - pok mieszkanie | Dla rodziny","Psie Pole","3500","4","80.78","+ czynsz: 350 zł/miesiąc","/pl/oferta/lipa-piotrowska-4-pok-mieszkanie-dla-rodziny-ID4kmms"
"Centrum/Angel River/Walońska/2 Pok./Apartament/Lux","dolnośląskie","2700","2","36.5","+ czynsz: 800 zł/miesiąc","/pl/oferta/centrum-angel-river-walonska-2-pok-apartament-lux-ID4kGMQ"
"2M z osobną kuchnią i garderobą | balkon, piwnica","Krzyki","2500","2","48","+ czynsz: 750 zł/miesiąc","/pl/oferta/2m-z-osobna-kuchnia-i-garderoba-balkon-piwnica-ID4kGM8"
"Apartament w Śródmieściu z dużym salonem","Nadodrze","2900","2","49","+ czynsz: 550 zł/miesiąc","/pl/oferta/apartament-w-srodmiesciu-z-duzym-salonem-ID4k3VH"
"2 pokojowe mieszkanie na krzykach - od lutego","Krzyki","2900","2","60","+ czynsz: 500 zł/miesiąc","/pl/oferta/2-pokojowe-mieszkanie-na-krzykach-od-lutego-ID4jWbK"
"2 pokoje | garaż podziemny | ul. Gagarina","Fabryczna","3100","2","47","+ czynsz: poszukaj w opisie","/pl/oferta/2-pokoje-garaz-podziemny-ul-gagarina-ID4kdPd"
"Balkon-Winda-Miejsce Postojowe-Pierwszy Wynajem","Stare Miasto","2800","2","36","+ czynsz: 600 zł/miesiąc","/pl/oferta/balkon-winda-miejsce-postojowe-pierwszy-wynajem-ID4kGJg"
"Biskupin-ładne mieszkanie do wynajęcia","Śródmieście","2300","2","38.3","+ czynsz: poszukaj w opisie","/pl/oferta/biskupin-ladne-mieszkanie-do-wynajecia-ID4kGJa"
"Ekskluzywny apartement - widok na park","Fabryczna","5000","2","75","+ czynsz: 1000 zł/miesiąc","/pl/oferta/ekskluzywny-apartement-widok-na-park-ID4kGJ1"
"KępaMieszczańska,garaż,pełne wyposażenie,balkon","Nadodrze","2750","2","39","+ czynsz: 520 zł/miesiąc","/pl/oferta/kepamieszczanska-garaz-pelne-wyposazenie-balkon-ID4kGIh"
"Kawalerka BEZ prowizji","Wrocław","2870","1","26","+ czynsz: 300 zł/miesiąc","/pl/oferta/kawalerka-bez-prowizji-ID4kGI6"
"New!!! Kotlarska Street / Parking / For WrocLovers","Stare Miasto","4500","2","46.5","+ czynsz: 674 zł/miesiąc","/pl/oferta/new-kotlarska-street-parking-for-wroclovers-ID4kGGH"
"Studio z balkonem w Angel City, Siłownia i Spa","Wrocław","2800","1","29","+ czynsz: 600 zł/miesiąc","/pl/oferta/studio-z-balkonem-w-angel-city-silownia-i-spa-ID4kGCT"
"Obok Parku Południowego, 58m2, komfortowe,od zaraz","Krzyki","3000","2","58","+ czynsz: 381 zł/miesiąc","/pl/oferta/obok-parku-poludniowego-58m2-komfortowe-od-zaraz-ID4kGCH"
"nowe – Białowieska 114/25 - bez pośredników","Fabryczna","2904","2","50.02","+ czynsz: 451 zł/miesiąc","/pl/oferta/nowe-bialowieska-114-25-bez-posrednikow-ID4kGCD"
"Kwatera pracownicza - Wrocław Muchobór","Fabryczna","5000","4","63","+ czynsz: 2000 zł/miesiąc","/pl/oferta/kwatera-pracownicza-wroclaw-muchobor-ID4kBpk"
"Ange City 2 pokoje Centrum/ Strefa Spa-Siłownia","Stare Miasto","3900","2","40","+ czynsz: 700 zł/miesiąc","/pl/oferta/ange-city-2-pokoje-centrum-strefa-spa-silownia-ID4kGB3"
"Garaż, pralnia i taras z widokiem na rzekę","Psie Pole","4350","3","66","+ czynsz: 550 zł/miesiąc","/pl/oferta/garaz-pralnia-i-taras-z-widokiem-na-rzeke-ID4kGAS"
"Dwa pokoje, kuchnia, garderoba, parking","Krzyki","2460","2","47","+ czynsz: 540 zł/miesiąc","/pl/oferta/dwa-pokoje-kuchnia-garderoba-parking-ID4kGAP"
"Boczna Krzyckiej, obok dwóch parków, garaż, meble","Krzyki","2720","2","48","+ czynsz: 440 zł/miesiąc","/pl/oferta/boczna-krzyckiej-obok-dwoch-parkow-garaz-meble-ID4kGAI"
"Nowa Kawalerka ul. Nowowiejska OD ZARAZ!","Śródmieście","2300","1","35","+ czynsz: 400 zł/miesiąc","/pl/oferta/nowa-kawalerka-ul-nowowiejska-od-zaraz-ID4kGA9"
"Nowa Kawalerka ul. Nowowiejska OD ZARAZ!","Śródmieście","2000","1","25","+ czynsz: 400 zł/miesiąc","/pl/oferta/nowa-kawalerka-ul-nowowiejska-od-zaraz-ID4kGA4"
"Kawalerka / Angel City / Pierwszy najem","Krzyki","2800","1","30","+ czynsz: poszukaj w opisie","/pl/oferta/kawalerka-angel-city-pierwszy-najem-ID4kGzS"
"CENTRUM! BEZ PROWIZJI balkon garderoba Od zaraz","Krzyki","2500","1","45","+ czynsz: 600 zł/miesiąc","/pl/oferta/centrum-bez-prowizji-balkon-garderoba-od-zaraz-ID46xNr"
"Kawalerka z balkonem ul. Nowowiejska OD ZARAZ!","Śródmieście","1700","1","20","+ czynsz: 400 zł/miesiąc","/pl/oferta/kawalerka-z-balkonem-ul-nowowiejska-od-zaraz-ID4kGzN"
"Centrum -2 pokoje z widokiem na rzekę|M. Postojowe","Stare Miasto","3500","2","62.58","+ czynsz: 732 zł/miesiąc","/pl/oferta/centrum-2-pokoje-z-widokiem-na-rzeke-m-postojowe-ID4khEv"
"Przytulne mieszkanie po remoncie wolne! Zadzwoń!","Krzyki","2200","2","37","+ czynsz: 500 zł/miesiąc","/pl/oferta/przytulne-mieszkanie-po-remoncie-wolne-zadzwon-ID4jLJ0"
"Loftowa nieruchomość w zrewitalizowanej kamienicy","Krzyki","4400","4","65","+ czynsz: 450 zł/miesiąc","/pl/oferta/loftowa-nieruchomosc-w-zrewitalizowanej-kamienicy-ID4kGyq"
"Loftowa nieruchomość w zrewitalizowanej kamienicy","Krzyki","4000","2","65","+ czynsz: 450 zł/miesiąc","/pl/oferta/loftowa-nieruchomosc-w-zrewitalizowanej-kamienicy-ID4kGyo"
"2-pokoje Krzyki-Gaj pierwszy najem","Krzyki","3100","2","43","+ czynsz: 500 zł/miesiąc","/pl/oferta/2-pokoje-krzyki-gaj-pierwszy-najem-ID4kpAA"
"Pierwszy najem / ul Pułaskiego","dolnośląskie","4000","3","55","+ czynsz: 700 zł/miesiąc","/pl/oferta/pierwszy-najem-ul-pulaskiego-ID4jYhr"
"Ładne 2 pokoje |Olimpia Port/blisko Pl.Grunwaldzki","Psie Pole","2700","2","41","+ czynsz: 600 zł/miesiąc","/pl/oferta/ladne-2-pokoje-olimpia-port-blisko-pl-grunwaldzki-ID4kGwO"
"2-pok, 48m2, miejsce post. balkon, od zaraz!","Fabryczna","2800","2","48","+ czynsz: 500 zł/miesiąc","/pl/oferta/2-pok-48m2-miejsce-post-balkon-od-zaraz-ID4kGwA"
"nowe – Świętokrzyska 37/40b - bez pośredników","Śródmieście","2974","2","49.58","+ czynsz: 446 zł/miesiąc","/pl/oferta/nowe-swietokrzyska-37-40b-bez-posrednikow-ID4kGwg"
"2 pok. Osobna kuchnia |55m | Ołtaszyn | Kameralnie","Krzyki","2200","2","55","+ czynsz: poszukaj w opisie","/pl/oferta/2-pok-osobna-kuchnia-55m-oltaszyn-kameralnie-ID4kGw9"
"Mieszkanie do wynajęcia ul Sołtysowicka","Psie Pole","2400","2","30","+ czynsz: 500 zł/miesiąc","/pl/oferta/mieszkanie-do-wynajecia-ul-soltysowicka-ID4kxNK"
"Lux, 48m2, 2-pok, garaż, Śródmieście, bezpośrednio","Śródmieście","3400","2","48","+ czynsz: 600 zł/miesiąc","/pl/oferta/lux-48m2-2-pok-garaz-srodmiescie-bezposrednio-ID4kv4H"
"Piekny Apartament Loft, 115m, Centrum","Stare Miasto","9000","4","115","+ czynsz: 1500 zł/miesiąc","/pl/oferta/piekny-apartament-loft-115m-centrum-ID4jZLf"
"Garaż, Taras, Nowe Żerniki, 3pok, Nowe","Wrocław","3500","3","52","+ czynsz: 400 zł/miesiąc","/pl/oferta/garaz-taras-nowe-zerniki-3pok-nowe-ID4klNk"
"2Pokoje_47M2_Duży_Balkon_Krzyki/Jagodno","Krzyki","2500","2","47","+ czynsz: poszukaj w opisie","/pl/oferta/2pokoje-47m2-duzy-balkon-krzyki-jagodno-ID4kGt4"
"Nowe 3 pokojowe m. w inwestycji Planty Racławickie","Fabryczna","3500","3","65","+ czynsz: poszukaj w opisie","/pl/oferta/nowe-3-pokojowe-m-w-inwestycji-planty-raclawickie-ID4kGsH"
"Kawalerka w centrum z dwoma balkonami -ul.Jagiełły","Stare Miasto","2200","1","25","+ czynsz: poszukaj w opisie","/pl/oferta/kawalerka-w-centrum-z-dwoma-balkonami-ul-jagielly-ID4kGsJ"
"Nowe 3 pokojowe m. w inwestycji Planty Racławickie","Fabryczna","3800","3","65","+ czynsz: poszukaj w opisie","/pl/oferta/nowe-3-pokojowe-m-w-inwestycji-planty-raclawickie-ID4kGsG"
"Nowocześnie urządzone m. przy pl. Strzegomskim","Stare Miasto","2800","2","39.1","+ czynsz: 700 zł/miesiąc","/pl/oferta/nowoczesnie-urzadzone-m-przy-pl-strzegomskim-ID4kGsF"
"2 pokojowe m. z balkonem blisko parku","Fabryczna","2100","2","42","+ czynsz: 650 zł/miesiąc","/pl/oferta/2-pokojowe-m-z-balkonem-blisko-parku-ID4kGsE"
"Mieszkanie 62m2 na wynajem/вартира 62м2 здається","Krzyki","3200","3","62","+ czynsz: 1000 zł/miesiąc","/pl/oferta/mieszkanie-62m2-na-wynajem-622-ID4kGrF"
"Ogrody Grabiszyńskie_taras z widokiem na park","Fabryczna","5500","2","58.58","+ czynsz: 550 zł/miesiąc","/pl/oferta/ogrody-grabiszynskie-taras-z-widokiem-na-park-ID4kGrQ"
"Top/Olimpia Port/2pok-41m2/Balkon","Stare Miasto","2600","2","48","+ czynsz: 500 zł/miesiąc","/pl/oferta/top-olimpia-port-2pok-41m2-balkon-ID4kFT3"
"HIT! mieszkanie blisko centrum","Śródmieście","2000","1","42","+ czynsz: 700 zł/miesiąc","/pl/oferta/hit-mieszkanie-blisko-centrum-ID4kv12"
"Połączenie nowoczesności z ponadczasową klasyką!","Stare Miasto","3500","2","62","+ czynsz: 677 zł/miesiąc","/pl/oferta/polaczenie-nowoczesnosci-z-ponadczasowa-klasyka-ID4kGqd"
"Wynajmę stylowe mieszkanie w centrum - Kleczków","Psie Pole","3000","2","38","+ czynsz: 500 zł/miesiąc","/pl/oferta/wynajme-stylowe-mieszkanie-w-centrum-kleczkow-ID43xTW"
"*2pok*Balkon*Garaż*Krzyki/ul.Iwaszkiewicza*","Krzyki","2600","2","46","+ czynsz: poszukaj w opisie","/pl/oferta/2pokbalkongarazkrzyki-ul-iwaszkiewicza-ID4kGnv"
"Swojczyce Ferdynanda Magellana Olimpia Port","Śródmieście","3000","3","51.89","+ czynsz: 530 zł/miesiąc","/pl/oferta/swojczyce-ferdynanda-magellana-olimpia-port-ID3rGHS"
"= ul. Na Grobli/ 1,5 km do Rynku =","Krzyki","4950","3","50","+ czynsz: 550 zł/miesiąc","/pl/oferta/ul-na-grobli-1-5-km-do-rynku-ID4kgLS"
"Wojszyce 2 pokoje + oddzielna kuchnia / garaż","Krzyki","2800","2","50","+ czynsz: 700 zł/miesiąc","/pl/oferta/wojszyce-2-pokoje-oddzielna-kuchnia-garaz-ID4kyye"
"Mieszkanie do wynajęcia od kwietnia","Krzyki","3000","2","36","+ czynsz: 341 zł/miesiąc","/pl/oferta/mieszkanie-do-wynajecia-od-kwietnia-ID4kxxY"
"Designerskie Mieszkanie na wynajem","Krzyki","4000","2","42","+ czynsz: 750 zł/miesiąc","/pl/oferta/designerskie-mieszkanie-na-wynajem-ID4kysb"
"Nowe - 2 Pokoje - Klima - Balkon - Garaż - Krzyki","Krzyki","3500","2","40","+ czynsz: poszukaj w opisie","/pl/oferta/nowe-2-pokoje-klima-balkon-garaz-krzyki-ID4kGkl"
"Sypialnia +salon z aneksem +Parking +Nowe","Stare Miasto","2400","2","30","+ czynsz: 540 zł/miesiąc","/pl/oferta/sypialnia-salon-z-aneksem-parking-nowe-ID4kGk3"
"Mieszkanie, 81 m², Wrocław","Psie Pole","3900","4","81","+ czynsz: poszukaj w opisie","/pl/oferta/mieszkanie-81-m-wroclaw-ID4kGjS"
"Nowa kawalerka na Hubach z garażem podziemnym","Krzyki","2400","1","30","+ czynsz: 450 zł/miesiąc","/pl/oferta/nowa-kawalerka-na-hubach-z-garazem-podziemnym-ID4kr9d"
"Szczepin Legnicka Astra 3pok 48m, Balkon, Zieleń","Stare Miasto","3000","3","48","+ czynsz: 470 zł/miesiąc","/pl/oferta/szczepin-legnicka-astra-3pok-48m-balkon-zielen-ID4kxJh"
"Pierwszy wynajem - nowe mieszkanie 3-pokojowe","Psie Pole","3500","3","61","+ czynsz: 800 zł/miesiąc","/pl/oferta/pierwszy-wynajem-nowe-mieszkanie-3-pokojowe-ID4kxJ5"
"Kawalerka Kępa | Wynajmij na 6-12 miesięcy","Nadodrze","2680","1","26.7","+ czynsz: 240 zł/miesiąc","/pl/oferta/kawalerka-kepa-wynajmij-na-6-12-miesiecy-ID4kG6a"
"2 pok*Pierwszy Najmem*Balkon*Garaż*Spa*ul.Walońska","dolnośląskie","4200","2","44","+ czynsz: 850 zł/miesiąc","/pl/oferta/2-pokpierwszy-najmembalkongarazspaul-walonska-ID4kGg4"
"Apartament 3 pok. | ścisłe centrum - ul. Wierzbowa","Stare Miasto","5500","3","92","+ czynsz: poszukaj w opisie","/pl/oferta/apartament-3-pok-scisle-centrum-ul-wierzbowa-ID4kGg2"
"Apartament 2 pok. | Balkon Klimatyzacja | Pl. Bema","Śródmieście","2800","2","50","+ czynsz: poszukaj w opisie","/pl/oferta/apartament-2-pok-balkon-klimatyzacja-pl-bema-ID4kGg0"
"Miejsce postojowe GARAŻ PODZIEMNY Braniborska 10","Stare Miasto","2400","1","11","+ czynsz: poszukaj w opisie","/pl/oferta/miejsce-postojowe-garaz-podziemny-braniborska-10-ID4kGfq"
"Kępa Mieszczańska","Śródmieście","4500","3","56.78","+ czynsz: poszukaj w opisie","/pl/oferta/kepa-mieszczanska-ID4kB2J"
"Pierwszy miesiąc GRATIS! Kawalerki i 2-pok!","Stare Miasto","2350","1","30","+ czynsz: 450 zł/miesiąc","/pl/oferta/pierwszy-miesiac-gratis-kawalerki-i-2-pok-ID4kGe5"
"3pok. Olszewskiego, 5 min. do Pl. Grunwaldzkiego","Śródmieście","2700","3","51","+ czynsz: 300 zł/miesiąc","/pl/oferta/3pok-olszewskiego-5-min-do-pl-grunwaldzkiego-ID4kGdS"
"2 pokoje | siłownia | ul. Mieszczańska","Nadodrze","3499","2","55","+ czynsz: 621 zł/miesiąc","/pl/oferta/2-pokoje-silownia-ul-mieszczanska-ID4kiKG"
"Mieszkanie, 21 m², Wrocław","Stare Miasto","1650","1","21","+ czynsz: 350 zł/miesiąc","/pl/oferta/mieszkanie-21-m-wroclaw-ID4kGbN"
"Mieszkanie 3-pok. | Balkon | Gitarowa","Psie Pole","2850","3","70","+ czynsz: 500 zł/miesiąc","/pl/oferta/mieszkanie-3-pok-balkon-gitarowa-ID3jSrO"
"Mieszkanie 2-pok | Winda | Rozkład | Dyrekcyjna","Krzyki","3400","2","55","+ czynsz: 700 zł/miesiąc","/pl/oferta/mieszkanie-2-pok-winda-rozklad-dyrekcyjna-ID4kz6a"
"Mieszkanie 2-pok | Parking | Klimatyzacja | Krzyki","Krzyki","3000","2","45","+ czynsz: 650 zł/miesiąc","/pl/oferta/mieszkanie-2-pok-parking-klimatyzacja-krzyki-ID4kw6D"
"Mikroapartament | Winda | Internet | Karola Miarki","Śródmieście","1950","1","24","+ czynsz: 400 zł/miesiąc","/pl/oferta/mikroapartament-winda-internet-karola-miarki-ID4kmoy"
"Mieszkanie 2-pok | Parking | Klimatyzacja | Ołbin","Śródmieście","4000","2","60","+ czynsz: 800 zł/miesiąc","/pl/oferta/mieszkanie-2-pok-parking-klimatyzacja-olbin-ID4klcL"
"Mikroapartament | Winda | Internet | Karola Miarki","Śródmieście","2150","1","31","+ czynsz: 450 zł/miesiąc","/pl/oferta/mikroapartament-winda-internet-karola-miarki-ID4kfEz"
"Mikroapartament | Winda | Internet | Karola Miarki","Śródmieście","1650","1","14.25","+ czynsz: 350 zł/miesiąc","/pl/oferta/mikroapartament-winda-internet-karola-miarki-ID4kfAR"
"Mikroapartament | Winda | Internet | Karola Miarki","Śródmieście","1700","1","15.5","+ czynsz: 400 zł/miesiąc","/pl/oferta/mikroapartament-winda-internet-karola-miarki-ID4k2mU"
"Mikroapartament | Winda | Internet | Karola Miarki","Śródmieście","2050","1","29","+ czynsz: 450 zł/miesiąc","/pl/oferta/mikroapartament-winda-internet-karola-miarki-ID4k2mT"
"Mikroapartament | Winda | Internet | Karola Miarki","Śródmieście","1950","1","21","+ czynsz: 450 zł/miesiąc","/pl/oferta/mikroapartament-winda-internet-karola-miarki-ID4k2mP"
"Mikroapartament | Winda | Internet | Karola Miarki","Śródmieście","1600","1","13","+ czynsz: 300 zł/miesiąc","/pl/oferta/mikroapartament-winda-internet-karola-miarki-ID4k2mM"
"Mieszkanie 3-pok | Klimatyzacja | Boguszowska","Fabryczna","5000","3","100","+ czynsz: 1000 zł/miesiąc","/pl/oferta/mieszkanie-3-pok-klimatyzacja-boguszowska-ID4jQMQ"
"Kawalerka | Parking | Winda | Księcia Witolda","Nadodrze","2600","1","28.5","+ czynsz: 400 zł/miesiąc","/pl/oferta/kawalerka-parking-winda-ksiecia-witolda-ID4dI5F"
"Kawalerka | 32 m2 | Winda | Legnicka","Stare Miasto","2300","1","32","+ czynsz: 400 zł/miesiąc","/pl/oferta/kawalerka-32-m2-winda-legnicka-ID4doPi"
"Mieszkanie 3-pok | Klimatyzacja | Jana Długosza","Psie Pole","3200","3","53","+ czynsz: 800 zł/miesiąc","/pl/oferta/mieszkanie-3-pok-klimatyzacja-jana-dlugosza-ID4cHrN"
"Kawalerka | 33.6 m2 | Balkon | Dąbrowskiego","Wrocław","2853","1","33.6","+ czynsz: 312,48 zł/miesiąc","/pl/oferta/kawalerka-33-6-m2-balkon-dabrowskiego-ID4bFIi"
"Mieszkanie 3-pok | Rozkład | Koszykarska","Fabryczna","3000","3","62.5","+ czynsz: 1100 zł/miesiąc","/pl/oferta/mieszkanie-3-pok-rozklad-koszykarska-ID4byJy"
"Mieszkanie 3-pok | 68 m2 | Balkon | Zakładowa","Psie Pole","3779","3","68","+ czynsz: 635 zł/miesiąc","/pl/oferta/mieszkanie-3-pok-68-m2-balkon-zakladowa-ID3SV4v"
"Mieszkanie 2-pok | 34 m2 | Balkon | Zakładowa","Psie Pole","2635","2","33.64","+ czynsz: 313 zł/miesiąc","/pl/oferta/mieszkanie-2-pok-34-m2-balkon-zakladowa-ID3SV2E"
"Kawalerka | 30 m2 | Balkon | Zakładowa","Psie Pole","2389","1","29.81","+ czynsz: 277 zł/miesiąc","/pl/oferta/kawalerka-30-m2-balkon-zakladowa-ID3SV2s"
"Mieszkanie 2-pok | Garaż | Balkon | Partynicka","Krzyki","2800","2","45","+ czynsz: 750 zł/miesiąc","/pl/oferta/mieszkanie-2-pok-garaz-balkon-partynicka-ID3gCdM"
"Mieszkanie 2-pok. | Balkon | Klimatyzacja | Prusa","Śródmieście","3000","2","59","+ czynsz: 780 zł/miesiąc","/pl/oferta/mieszkanie-2-pok-balkon-klimatyzacja-prusa-ID2WIbz"
"2 pokoje, balkon, miejsce parkingowe w cenie","Krzyki","2390","2","41","+ czynsz: 500 zł/miesiąc","/pl/oferta/2-pokoje-balkon-miejsce-parkingowe-w-cenie-ID4kG8G"
"Mieszkanie Nyska Os. Innowa 45m 2-pok. garaż podz.","Krzyki","2900","2","45","+ czynsz: 650 zł/miesiąc","/pl/oferta/mieszkanie-nyska-os-innowa-45m-2-pok-garaz-podz-ID4jZVV"
"Wynajmę 2 pok, m. postojowe w cenie, ul. Trawowa","Fabryczna","2300","2","44","+ czynsz: 360 zł/miesiąc","/pl/oferta/wynajme-2-pok-m-postojowe-w-cenie-ul-trawowa-ID4kc15"
"Mieszkanie - Wrocław Ołtaszyn","Krzyki","2700","2","40","+ czynsz: poszukaj w opisie","/pl/oferta/mieszkanie-wroclaw-oltaszyn-ID4kG7T"
"nowe – Kopycińskiego 5/20a - bez pośredników","Krzyki","2295","2","38.5","+ czynsz: 327 zł/miesiąc","/pl/oferta/nowe-kopycinskiego-5-20a-bez-posrednikow-ID4kG7x"
"3 pokojowe mieszkanie na wieczystej blisko Ue","Krzyki","2700","3","55","+ czynsz: 750 zł/miesiąc","/pl/oferta/3-pokojowe-mieszkanie-na-wieczystej-blisko-ue-ID4kcz3"
"Duża kawalerka w centrum miasta! | Piwnica |","Śródmieście","2400","1","40","+ czynsz: 600 zł/miesiąc","/pl/oferta/duza-kawalerka-w-centrum-miasta-piwnica-ID4kG7m"
"2 pokoje | Słoneczne | Zakładowa | Bezpośrednio","Psie Pole","2910","2","38","+ czynsz: 340 zł/miesiąc","/pl/oferta/2-pokoje-sloneczne-zakladowa-bezposrednio-ID4kAXd"
"3 pokoje + kuchnia /68m2/Skarbowców/Krzyki","Krzyki","3500","3","68","+ czynsz: poszukaj w opisie","/pl/oferta/3-pokoje-kuchnia-68m2-skarbowcow-krzyki-ID4kG6A"
"Top/Ołtaszyn-ul. Obrońców Poczty Gdańskiej/Ogród","dolnośląskie","2700","2","58","+ czynsz: 652 zł/miesiąc","/pl/oferta/top-oltaszyn-ul-obroncow-poczty-gdanskiej-ogrod-ID4kG5Y"
"Przestronne / idealne dla pary / Antresola","Fabryczna","2400","1","42","+ czynsz: 450 zł/miesiąc","/pl/oferta/przestronne-idealne-dla-pary-antresola-ID4kG5R"
"Komfortowe 4 pokoje z dużym tarasem","Psie Pole","3950","4","67.97","+ czynsz: 800 zł/miesiąc","/pl/oferta/komfortowe-4-pokoje-z-duzym-tarasem-ID4kG4N"
"Nowe mieszkanie w centrum Wrocławia","Śródmieście","3500","2","42","+ czynsz: 600 zł/miesiąc","/pl/oferta/nowe-mieszkanie-w-centrum-wroclawia-ID4kG3b"
"Mieszkanie, 62 m², Wrocław","Śródmieście","2200","2","62","+ czynsz: 600 zł/miesiąc","/pl/oferta/mieszkanie-62-m-wroclaw-ID4k7dA"
"Rynek Wrocław, kawalerka od zaraz","dolnośląskie","3000","1","24","+ czynsz: 1 zł/miesiąc","/pl/oferta/rynek-wroclaw-kawalerka-od-zaraz-ID4kG2t"
"Nowe mieszkanie 2 - pokojowe","Psie Pole","2900","2","52","+ czynsz: 504,17 zł/miesiąc","/pl/oferta/nowe-mieszkanie-2-pokojowe-ID4kG2y"
"Do wynajęcia klimatyzowane mieszkanie przy Rynku","Stare Miasto","3500","2","62","+ czynsz: 677 zł/miesiąc","/pl/oferta/do-wynajecia-klimatyzowane-mieszkanie-przy-rynku-ID4kG1M"
"Belvedere Park, Przyjaźni, 3 pokoje!","Krzyki","3500","3","60","+ czynsz: 650 zł/miesiąc","/pl/oferta/belvedere-park-przyjazni-3-pokoje-ID4kG1D"
